protocol_version,polarization_type,dimension_g,coordinate_dimension,radius,method,budget,best_ell_squared,best_query,best_coordinates,best_achieved_rms_distance,best_boundary_fraction,best_class_multiplicity,best_lift_multiplicity,best_kernel_distance_spectrum,maximum_distance_overrun,all_certified
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.0,cma_es,96,0.296582737087279,47,"[-0.20290242415657445, -0.07244569556452096, 0.028863096667272894, 0.8259584363394669, -0.05411205288550688, 0.38189707035732506]",0.9371401581721891,0.9371401581721891,2,2,"[0.296582737087279, 0.296582737087279, 0.322606453388545, 0.322606453388545, 0.33381239937277674, 0.33381239937277674, 0.6937013160510253, 0.6937013160510253, 0.805067969145767, 0.805067969145767, 0.9045659815788712, 0.9045659815788712, 0.9381838195315665, 0.9381838195315665, 0.9960926580198743, 0.9960926580198743, 1.1755001371308416, 1.1755001371308416, 1.2484187685232413, 1.2484187685232413, 1.3153941504262656, 1.3153941504262656, 1.4448407985000105, 1.4448407985000105]",1.1102230246251565e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.0,bayesian_ucb,96,0.29770980902011746,15,"[-0.04502219688571079, 0.05550301995210704, 0.01658312253288401, -0.9427914061856708, 0.004906136918251593, 0.14671049766247715]",0.9569672195381346,0.9569672195381346,2,2,"[0.29770980902011746, 0.29770980902011746, 0.3053281039675973, 0.3053281039675973, 0.49094603926071817, 0.49094603926071817, 0.7006633505576809, 0.7006633505576809, 0.7151297867147113, 0.7151297867147113, 0.7500047818990647, 0.7500047818990647, 0.8366067377602073, 0.8366067377602073, 0.9978795017178191, 0.9978795017178191, 1.097549680120545, 1.097549680120545, 1.175376171290349, 1.175376171290349, 1.3319104651376457, 1.3319104651376457, 1.5694257997758456, 1.5694257997758456]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.5,sobol,96,0.42911591294059187,14,"[-0.38847447231072146, -1.2332945713663315, 0.23080043409212864, -0.27029873186804654, -0.07809709943516337, 0.614803519131079]",1.4772747490908695,0.9848498327272464,2,2,"[0.42911591294059187, 0.42911591294059187, 0.43559457093872495, 0.43559457093872495, 0.4647208837740191, 0.4647208837740191, 0.534086689027299, 0.534086689027299, 0.5552560122508226, 0.5552560122508226, 0.8255893866328565, 0.8255893866328565, 0.8457171134085115, 0.8457171134085115, 0.8735367201597508, 0.8735367201597508, 0.9750415227926308, 0.9750415227926308, 1.0054592779747435, 1.0054592779747435, 1.1175960716342586, 1.1175960716342586, 1.1447444586666524, 1.1447444586666524]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.5,cma_es,96,0.47037912849758134,40,"[-0.2173280862494767, -0.41434033420736477, 0.441781831167457, 1.2552914743495758, 0.01226269404343035, -0.5099140562746473]",1.4999999999999991,0.9999999999999994,2,2,"[0.47037912849758134, 0.47037912849758134, 0.4761006261010346, 0.4761006261010346, 0.47967247117368883, 0.47967247117368883, 0.5306526736467043, 0.5306526736467043, 0.6637582168841805, 0.6637582168841805, 0.6894646196738863, 0.6894646196738863, 0.730194618068551, 0.730194618068551, 0.7824852182992841, 0.7824852182992841, 0.8084778020622361, 0.8084778020622361, 0.8567674336411173, 0.8567674336411173, 0.9436251762312665, 0.9436251762312665, 1.0694126431343276, 1.0694126431343276]",2.6645352591003757e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.5,bayesian_ucb,96,0.44445468966032825,61,"[0.020271083064338204, -0.3777042015217537, 0.06537058321531844, -1.359583442536151, -0.07831897111171218, -0.39114442675077105]",1.4679712718028006,0.9786475145352004,2,2,"[0.44445468966032825, 0.44445468966032825, 0.4498151977660254, 0.4498151977660254, 0.4675951265039797, 0.4675951265039797, 0.5224269158390457, 0.5224269158390457, 0.5739475602717347, 0.5739475602717347, 0.8618468056096047, 0.8618468056096047, 0.8812813721475712, 0.8812813721475712, 0.8973141179051976, 0.8973141179051976, 0.9239112073175626, 0.9239112073175626, 0.9266929692431025, 0.9266929692431025, 0.9375065306348133, 0.9375065306348133, 1.0987627125384796, 1.0987627125384796]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.25,sobol,96,0.5232437914281608,66,"[-0.0829793921306716, -0.07420944570895084, 0.02292552828404912, 0.007971884957553346, 0.003219077448122648, -0.11052541881327028, 0.01913878655282945, -0.11536372947217048, 0.0009498294906973699, -0.14916805049965268, 0.0007153920828845061, 0.15341787421656397]",0.2375887643534288,0.9503550574137152,1,2,"[0.5232437914281608, 0.5249551802084786, 0.8259334892090915]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.25,cma_es,96,0.5247401999526782,23,"[0.060100663261737075, 0.016230363044695335, -0.09299794116215872, 0.009302337944426827, -0.06931322161919451, -0.08449381794021574, 0.12982512920142805, 0.06937291512983798, 0.04089442368861518, 0.04983548466605874, -0.0045071327391542895, 0.208212386485352]",0.2499999999999995,0.999999999999998,1,2,"[0.5247401999526782, 0.5308287935563397, 0.7542397802329797]",9.992007221626409e-16,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.25,bayesian_ucb,96,0.517508722480419,73,"[0.053918363065241136, -0.03782378154832968, -0.014362501406511491, 0.11175471746058517, -0.04986286814293383, -0.11956972583136331, -0.028912684083706706, -0.09797838266923313, 0.12048989217792729, 0.02668282229760617, -0.0005330485696504125, 0.15361837796255134]",0.23534490389676285,0.9413796155870514,1,2,"[0.517508722480419, 0.5188231388244549, 0.8154236337864431]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.5,sobol,96,0.5799211841583061,90,"[0.052593784658352453, -0.01640290358122111, 0.15493639604522358, -0.18407347505465374, -0.18227239221795966, 0.022913492539600074, 0.14743011689833416, -0.06282166621981779, 0.04452873618449082, -0.3320659902563277, -0.011281253894836226, -0.3193632907218304]",0.4723873799263295,0.944774759852659,1,2,"[0.5799211841583061, 0.5972346770177974, 0.6923810470700248]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.5,cma_es,96,0.5961995220976101,57,"[-0.25743296325203, 0.1713601845441015, -0.08175589549209873, 0.05914166105828364, -0.10465811701464883, -0.2780945424203584, 0.028045634147678796, 0.11566578279221483, -0.042418943846432, -0.16839148494847853, -0.011148276760223447, 0.36938844608920546]",0.4999999999999993,0.9999999999999986,1,2,"[0.5961995220976101, 0.6106390682157622, 0.6430163742236805]",1.1102230246251565e-15,False
