polarization_type,best_blind_ell_squared,phase5_population_champion_ell_squared,strongest_known_cm_ell_squared,blind_to_strongest_known_cm_ratio,best_method
"(1,3)",0.7309178437485679,0.8164965809277261,0.8164965809277261,0.8951878805396573,bayesian_ucb
"(1,5)",0.47037912849758134,0.5393598899705937,0.6324555320336759,0.7437347049286864,cma_es
"(1,1,2)",0.8690622455203525,1.0,1.1547005383792517,0.7526299820905741,cma_es
"(1,1,3)",0.7777295001565545,1.1547005383792517,1.1547005383792517,0.6735335044081496,bayesian_ucb
"(1,2,2)",0.7354146349642461,1.0,1.0,0.7354146349642461,bayesian_ucb
